fastqs,sample,library_type,
/sc/arion/projects/GOCAR/Sun/5.DRWork/6.APOL1/SCNew/0.Data/FQ/BRI-2658_0_1_22KVC7LT3,bamtofastq,Gene Expression,
/sc/arion/projects/GOCAR/Sun/5.DRWork/6.APOL1/SCNew/0.Data/FQ/BRI-2658_1_1_22KVC7LT3,HASH,Antibody Capture,
